Nombre;Frecuencia
CATALINA MARIA;2042 
ALDARA;2036 
MARTHA;2034 
FOUZIA;2033 
BLANCA NIEVES;2030 
MIRYAM;2029 
SANDRA PATRICIA;2028 
CARINA;2022 
HAFSA;2019 
HIND;2019 
MARGALIDA;2015 
ANA VANESA;2014 
ARGENTINA;2010 
CLAUDIA MARIA;2010 
SILVANA;2003 
CELIA MARIA;2000 
ASSIA;1998 
MILENA;1992 
BASMA;1990 
NORMA;1985 
AMADA;1982 
CHIARA;1978 
SAFAE;1974 
NARCISA;1972 
JAIONE;1970 
DOROTEA;1968 
SOUMIA;1968 
ROSA ELENA;1961 
RODICA;1960 
MARGARIDA;1957 
FARIDA;1951 
PRUDENCIA;1943 
EDUARDA;1940 
GHIZLANE;1939 
ARIANE;1938 
LAYLA;1934 
MARIA AFRICA;1934 
NABILA;1933 
EMILY;1928 
HANNA;1927 
GEMMA MARIA;1926 
FATOUMATA;1925 
IRENE MARIA;1917 
MARIA JOSEFINA;1916 
KATHERINE;1915 
VIVIANA;1915 
MARIA ESMERALDA;1914 
MARIA JOAQUINA;1911 
ROSAURA;1904 
ENCARNACION MARIA;1902 
MARTHA CECILIA;1895 
OLHA;1893 
ROSALINA;1884 
AMARA;1881 
MARIA CANDELAS;1880 
CONSTANZA;1878 
AGNES;1876 
ALAITZ;1867 
AURA;1860 
XIANA;1860 
EMERITA;1858 
RIM;1858 
ANA DOLORES;1856 
ELBA;1850 
ALEJANDRA MARIA;1841 
MARGARITA MARIA;1839 
MARIA ENGRACIA;1838 
MARIA RAMONA;1836 
TEOFILA;1834 
BLANCA ESTHER;1831 
IBTISSAM;1818 
ESPERANZA MACARENA;1815 
GEORGETA;1813 
GARA;1811 
NAOUAL;1810 
MARIIA;1809 
SOL;1805 
BEATRIZ MARIA;1803 
RESURRECCION;1800 
LINA MARIA;1797 
CARLA MARIA;1795 
YOLANDA MARIA;1795 
ENERITZ;1793 
DORINDA;1787 
DAMIANA;1786 
IONELA;1786 
ZULEMA;1782 
AINTZANE;1779 
MIRELA;1778 
ISAURA;1776 
BENIGNA;1775 
MARIA MARTA;1774 
SEGUNDA;1773 
ANDREA MARIA;1770 
YOANA;1767 
MARIA CORO;1766 
ISABELA;1758 
SAMIA;1758 
ERNESTINA;1757 
MARIA EMMA;1757 
IDOYA;1755 
MARIA AMALIA;1754 
KIARA;1750 
KRISTINA;1744 
MONIKA;1743 
ANA JOSEFA;1740 
DIGNA;1740 
MARIA MACARENA;1739 
MARIA PATRICIA;1736 
MANAL;1734 
JANNAT;1733 
CORAIMA;1731 
MARIA JULIANA;1729 
OUMAIMA;1729 
MARIA ICIAR;1728 
MARIA MILAGRO;1726 
DIANA MARCELA;1725 
ELENE;1725 
SAMANTA;1725 
DOUNIA;1724 
TOURIA;1706 
MARIA SOFIA;1699 
SANTIAGA;1698 
LENA;1695 
ZAHIRA;1694 
JOSUNE;1691 
LUZDIVINA;1691 
HALYNA;1690 
CAMELIA;1689 
HOURIA;1688 
CATHERINE;1686 
ALICE;1685 
ANGELINES;1685 
EDUVIGIS;1684 
NEREIDA;1681 
MARIA FLORENCIA;1680 
MELANI;1680 
ARES;1679 
GALINA;1679 
SALIMA;1679 
SUSANNA;1678 
ALMA MARIA;1677 
NOELIA MARIA;1675 
ISABEL CRISTINA;1673 
MIREN EDURNE;1670 
CINTA;1668 
MARIA ROSER;1666 
SHEYLA;1665 
DORA;1660 
ASMAA;1658 
YULIA;1654 
BLANCA ROSA;1653 
PETRONILA;1644 
ALBINA;1639 
ANDREEA;1634 
ANA PATRICIA;1630 
MARIA ALEXANDRA;1630 
LORENA MARIA;1629 
LOURDES MARIA;1629 
KAWTAR;1627 
MISERICORDIA;1622 
HASNA;1620 
MARIA ANUNCIACION;1620 
ANA CAROLINA;1618 
CORINA;1617 
PLACIDA;1617 
ARRATE;1609 
RENATA;1608 
JOANNA;1607 
MARIA MILAGROSA;1605 
EDITH;1603 
NATALIA MARIA;1603 
NOAH;1600 
GARBIÑE;1599 
LIDIA ESTHER;1598 
MARIA SILVIA;1598 
ADRIANA MARIA;1597 
ESTEL;1595 
JOHANNA;1592 
INAS;1590 
ANA SOFIA;1589 
AINOHA;1587 
MARTA ISABEL;1585 
MARIA LIDIA;1584 
NOOR;1577 
STEFANIA;1577 
MARIA ANDREA;1574 
WIAM;1574 
DIVINA;1566 
ASMA;1564 
MARITZA;1559 
GINESA;1558 
MARIA ARANTZAZU;1558 
GUMERSINDA;1555 
SANAA;1555 
XIOMARA;1554 
SABAH;1553 
ANA JESUS;1548 
FADOUA;1546 
ROSA DELIA;1544 
SARA ISABEL;1544 
FE;1538 
JULITA;1538 
ANTONINA;1537 
FADMA;1535 
AURORA MARIA;1534 
MARIA FELICIDAD;1534 
SOPHIA;1532 
ATENEA;1531 
EUFEMIA;1530 
DENISE;1528 
FLAVIA;1527 
ANA LAURA;1522 
INDARA;1522 
BELLA;1517 
ILEANA;1514 
MARIA CORAL;1514 
VALERIANA;1512 
GIOVANNA;1507 
AHLAM;1506 
CARMEN ROCIO;1505 
FABIANA;1501 
LINDA;1500 
AINHARA;1498 
NATALIIA;1498 
CONSTANTINA;1497 
AGATA;1495 
HILARIA;1493 
CARMEN GLORIA;1491 
TETIANA;1490 
FATOU;1483 
MARIA LETICIA;1478 
MARIA PETRA;1477 
MARIEM;1476 
SEILA;1475 
PURA;1471 
ANA MERCEDES;1470 
CASIMIRA;1465 
LILIA;1461 
MARIA GORETTI;1461 
RUTH MARIA;1461 
ALEGRIA;1459 
CORNELIA;1456 
ENEDINA;1455 
ROGELIA;1454 
PENELOPE;1448 
TANIA MARIA;1448 
ZAINAB;1447 
VALLE;1446 
ARIADNE;1442 
DOMITILA;1441 
HILDA;1437 
LIUDMILA;1435 
SOFIA MARIA;1434 
MARIA CRISTO;1433 
MARIA TRANSITO;1433 
GRACIA MARIA;1432 
EULOGIA;1431 
ELSA MARIA;1426 
GENEROSA;1425 
ASIA;1423 
ENMA;1421 
SOPHIE;1421 
FATIMA EZZAHRA;1420 
ANIA;1418 
LUCINDA;1415 
RAIMUNDA;1415 
CELINA;1414 
CUSTODIA;1411 
MARIA DELIA;1411 
CHRISTINE;1408 
LARISA;1407 
ARYA;1403 
JADE;1400 
MARIA ENRIQUETA;1400 
BLASA;1399 
OLVIDO;1398 
IRAIDE;1397 
PILAR MARIA;1397 
GALLA;1390 
CIPRIANA;1389 
IULIANA;1386 
MARIA SARA;1386 
DANAE;1384 
JOVITA;1378 
ISRAE;1377 
MARIAMA;1376 
IVETTE;1375 
MARIA HELENA;1374 
SUSAN;1373 
TASNIM;1373 
GRISELDA;1368 
MARIA ELOISA;1366 
CANDELAS;1359 
LINA MARCELA;1359 
MARTHA LUCIA;1359 
ERUNDINA;1358 
CLAUDINA;1356 
AMINATA;1355 
LENUTA;1355 
CRESCENCIA;1351 
GUACIMARA;1351 
INNA;1351 
MARIA NAZARET;1348 
LUZ ADRIANA;1345 
SEVERINA;1343 
LIVIA;1342 
YADIRA;1340 
STEPHANIE;1339 
ASHLEY;1338 
MARIA AMAYA;1335 
SANTA;1333 
ANA ROCIO;1328 
MARIA FLORA;1328 
SYLVIA;1327 
MAREN;1324 
ANASTASIIA;1323 
MARIA PUERTO;1319 
ELAIA;1318 
ISRAA;1318 
CLEMENCIA;1317 
NELLY;1317 
ALEJANDRINA;1313 
MARIANELA;1313 
KATERYNA;1308 
JOSEPA;1305 
TELMA;1305 
MARTA ELENA;1301 
MIREN JOSUNE;1301 
LIBRADA;1297 
ALEKSANDRA;1295 
LEOCADIA;1295 
ARIA;1294 
LIBE;1292 
STELLA;1290 
CARMEN TERESA;1288 
ADOLFINA;1285 
FATMA;1284 
LYUDMYLA;1284 
MARIA HORTENSIA;1277 
ANA DELIA;1276 
BENILDE;1276 
MANAR;1276 
NATHALIE;1275 
IRANTZU;1272 
ETELVINA;1269 
MARIA MONICA;1268 
ANA ESTHER;1267 
YESENIA;1267 
DIANA PATRICIA;1265 
EVELIA;1264 
MARIA CABEZA;1264 
MELANY;1262 
SALIHA;1261 
SAFAA;1260 
MARIA VIOLETA;1259 
AMERICA;1258 
MARIA VEGA;1257 
JOANA MARIA;1249 
MARIA ELIZABETH;1249 
JORDINA;1245 
NADA;1245 
YUMARA;1245 
FLORICA;1244 
NADINE;1244 
MARIA PATROCINIO;1243 
ADELA MARIA;1241 
MARIA NATALIA;1240 
CESAREA;1239 
ALESSIA;1236 
MAYRA ALEJANDRA;1236 
AGRIPINA;1234 
