Apellido;Frecuencia apellido 1
BOLIVAR;4667
RAMA;4667
DE LA CALLE;4661
CABO;4656
LARRAÑAGA;4647
VILANOVA;4643
MOLLA;4643
ANGUITA;4636
ZORRILLA;4633
CAPILLA;4619
NORIEGA;4615
ALBARRAN;4610
PORTERO;4596
PICON;4592
CUERVO;4590
CARPINTERO;4590
ANTEQUERA;4587
BUSTO;4582
GIRALDEZ;4577
PORCEL;4576
SARABIA;4575
UTRERA;4572
CASTILLEJO;4572
SABATE;4564
POPA;4564
VALENTIN;4554
TORRENT;4549
AGUIAR;4546
POZA;4539
PARRAGA;4536
DALMAU;4531
PALMERO;4522
GREGORIO;4520
CARABALLO;4513
RABADAN;4513
PORTA;4502
MONREAL;4501
JIN;4493
MIQUEL;4489
AMIGO;4487
TENORIO;4483
CORTIJO;4481
MEDIAVILLA;4480
CERRATO;4474
CAÑADA;4470
CASCALES;4467
MONROY;4462
PELAYO;4458
VAL;4448
SILES;4446
GRANDA;4443
TERRON;4440
PAYA;4438
BERLANGA;4430
CEPEDA;4423
MONTESDEOCA;4423
BEDOYA;4421
POZUELO;4419
CORONEL;4415
VILLARREAL;4414
GARROTE;4408
RONCERO;4401
ROSARIO;4399
RODA;4395
CARBAJO;4392
RESTREPO;4389
ALBERDI;4385
POP;4385
COMPANY;4381
ALMANSA;4380
ZAMBRANA;4379
DE OLIVEIRA;4376
MIGUELEZ;4376
JODAR;4374
CONCEPCION;4372
TERAN;4372
BLANCH;4371
GEA;4370
GINES;4369
BAYO;4364
PRIEGO;4361
MONTAÑES;4361
DE FRUTOS;4353
BAZAN;4350
PORTO;4348
MORGADO;4345
PUCHE;4337
ESCRIVA;4334
JUSTO;4331
TRAORE;4331
LLUCH;4329
QUISPE;4319
MILLA;4318
TRIGUERO;4316
REGUERA;4309
MORANTE;4308
MORALEDA;4302
SOTELO;4299
RANGEL;4296
RAPOSO;4286
PIÑOL;4284
CABAÑAS;4284
AGUERA;4281
INFANTES;4275
PAN;4266
PLATA;4261
MICO;4257
MORELL;4254
ARCAS;4239
ROMANO;4229
ARANGO;4227
MAQUEDA;4217
PEÑAS;4214
GAZQUEZ;4205
CASTRILLO;4203
AMARO;4202
ROSAS;4201
DE PAZ;4193
TRINIDAD;4186
ROQUE;4183
POMARES;4183
ABELLA;4180
ASENCIO;4172
REGUEIRO;4172
TEIXEIRA;4172
BARON;4169
MURO;4164
VENEGAS;4154
VACAS;4151
BERTRAN;4148
QUEROL;4147
ROSILLO;4142
PANADERO;4140
CASTEJON;4139
NIÑO;4136
GRANERO;4136
MULERO;4136
ALMAZAN;4130
CARAVACA;4124
FORTES;4122
PLANA;4114
MUHAMMAD;4114
CARRACEDO;4113
ROCAMORA;4110
CANTON;4106
MANJON;4106
MARIA;4104
BARCO;4092
ALCON;4089
MACHO;4087
MACHIN;4080
SEDANO;4069
POSADA;4069
FELIX;4068
FUNES;4065
LONDOÑO;4063
OCAMPO;4062
PANTOJA;4061
SALVATIERRA;4058
PRADAS;4056
TORNERO;4055
URBINA;4050
CARBO;4050
GALEANO;4046
AGUAYO;4044
BALDE;4042
TEBAR;4041
CALZADO;4034
VILAS;4032
GANDIA;4029
CASTELL;4026
ARGUELLES;4022
FELIZ;4020
BORGES;4010
ARREGUI;4004
MOLINER;4000
LOUREIRO;3989
MIRAS;3988
CAMPAÑA;3977
RIBEIRO;3971
JAUREGUI;3957
ESCAMILLA;3956
TORRIJOS;3947
YANES;3947
MATAMOROS;3946
HU;3946
VIGO;3941
MOTOS;3937
DURA;3937
LLEDO;3932
PARRAS;3924
RIVEIRO;3921
ARTILES;3920
SEIJAS;3913
CUTILLAS;3910
ORTA;3907
CEDEÑO;3903
ABADIA;3903
CUARTERO;3899
CANAL;3891
CONEJERO;3884
IVANOVA;3881
FERRI;3875
DEL BARRIO;3873
REINOSO;3865
MANGAS;3863
DE PEDRO;3863
QUINTAS;3862
FERRO;3861
FABREGAT;3860
PARRADO;3859
AGUERO;3856
VARO;3853
COZAR;3849
CASILLAS;3849
OLLER;3843
MENGUAL;3842
BARRENA;3840
VILARIÑO;3838
BEJAR;3836
BREA;3836
IÑIGUEZ;3835
ARMENGOL;3835
TORRECILLAS;3835
IZAGUIRRE;3834
UCEDA;3832
SENDRA;3829
MONFORT;3827
RAMIS;3827
ANTELO;3826
AGUILA;3821
ALSINA;3821
PEDRERO;3820
LANDA;3818
ABASCAL;3815
BARCIA;3813
MIRON;3813
FONTAN;3811
NICOLAU;3810
CANALS;3809
PABLOS;3804
MORATA;3800
QUILEZ;3799
OSPINA;3791
DIZ;3784
COLOM;3783
VIEIRA;3783
BORRERO;3782
VALBUENA;3782
GALIANA;3780
RENDON;3776
LAVADO;3773
ANDRADES;3769
CARNERO;3764
PABLO;3762
ORTS;3759
RUA;3752
LLANO;3752
BAQUERO;3752
ZARATE;3751
TORRENTE;3746
MELO;3745
CAMARERO;3740
ARAQUE;3736
VIANA;3727
DEVESA;3725
IVANOV;3725
GONZALVEZ;3723
CORDOVA;3720
NEBOT;3709
BUSQUETS;3705
TORRECILLA;3703
TOSCANO;3701
COUTO;3689
HUGUET;3686
CAYUELA;3681
HIGUERA;3679
TABARES;3676
ARAMBURU;3670
ALCOLEA;3667
DE JUAN;3666
TORRICO;3661
MUGICA;3660
CASES;3660
GADEA;3660
LAHOZ;3658
BARRIONUEVO;3657
SAN ROMAN;3657
YEPES;3656
DURO;3655
KEITA;3655
RODAS;3649
LIEBANA;3643
ARNAL;3638
AVALOS;3634
LASTRA;3631
SAMANIEGO;3631
VICENT;3627
IBORRA;3627
VIEJO;3625
LUGO;3621
PASTRANA;3618
ALGUACIL;3612
GAITAN;3608
AMO;3607
LASO;3604
MARINA;3604
DEL REY;3599
REGALADO;3598
GRAÑA;3595
ROSSELLO;3591
ROMEO;3591
ACERO;3586
SIMARRO;3583
MENDIZABAL;3571
BAS;3571
NUÑO;3565
GAMBOA;3564
PALENCIA;3562
CAO;3556
FERRANDIZ;3555
MENDES;3553
RADU;3548
BLANCA;3542
BLANES;3541
VELARDE;3541
MOLL;3539
HUETE;3538
CURBELO;3538
VALDEZ;3535
IRANZO;3532
PEREIRO;3531
MASIP;3524
ARRABAL;3523
TERCERO;3518
VIVANCOS;3517
GAMARRA;3515
ORTIGOSA;3513
MEZA;3512
NEGRIN;3508
LAGE;3508
NAVALON;3503
VENDRELL;3497
CARREIRA;3497
CUEVA;3496
ROZAS;3496
BARRAL;3495
VILLARROEL;3493
GUEYE;3491
PINEDO;3488
PARREÑO;3487
ARTIGAS;3485
BARQUERO;3481
MORENTE;3480
MATILLA;3478
CHINCHILLA;3478
LIÑAN;3475
FALL;3475
POMBO;3474
CANET;3461
TREJO;3459
SABORIDO;3454
DE LOS REYES;3446
CRUCES;3446
PINTOR;3439
ARTERO;3438
BELLON;3434
DA COSTA;3433
COTO;3432
OLEA;3431
MONDEJAR;3428
EGIDO;3425
BALLESTA;3421
POLANCO;3415
CORREAS;3412
ESTEBANEZ;3411
ROMEU;3408
SELLES;3407
DE LUCAS;3406
CURTO;3402
ALMENDROS;3401
DEL VAL;3401
PAGAN;3400
COULIBALY;3391
CORTINA;3390
LLINARES;3390
CURIEL;3388
MAYORGA;3388
LASA;3388
JI;3387
ACEITUNO;3386
TOLOSA;3380
BARREDA;3379
PACHON;3378
PIMENTEL;3378
ALBERO;3377
NOTARIO;3376
